symbol,header,message,date,amount
SLVM,Dividend,SLVM announced a cash dividend of 0.45 with an ex-date of Apr. 8 2025,2025-04-08,0.45
ABM,Dividend,ABM announced a cash dividend of 0.265 with an ex-date of Apr. 3 2025,2025-04-03,0.265
NHI,Dividend,NHI announced a cash dividend of 0.90 with an ex-date of Mar. 31 2025,2025-03-31,0.90
BNL,Dividend,BNL announced a cash dividend of 0.29 with an ex-date of Mar. 31 2025,2025-03-31,0.29
BXMT,Dividend,BXMT announced a cash dividend of 0.47 with an ex-date of Mar. 31 2025,2025-03-31,0.47
AKR,Dividend,AKR announced a cash dividend of 0.20 with an ex-date of Mar. 31 2025,2025-03-31,0.20
GRP-UN,Dividend,GRP-UN announced a cash dividend of 0.283 with an ex-date of Mar. 31 2025,2025-03-31,0.283
CNXC,Dividend,CNXC announced a cash dividend of 0.333 with an ex-date of Apr. 25 2025,2025-04-25,0.333
CVBF,Dividend,CVBF announced a cash dividend of 0.20 with an ex-date of Apr. 2 2025,2025-04-02,0.20
PK,Dividend,PK announced a cash dividend of 0.25 with an ex-date of Mar. 31 2025,2025-03-31,0.25
BKU,Dividend,BKU announced a cash dividend of 0.31 with an ex-date of Apr. 11 2025,2025-04-11,0.31
MGRC,Dividend,MGRC announced a cash dividend of 0.485 with an ex-date of Apr. 16 2025,2025-04-16,0.485
AAP,Dividend,AAP announced a cash dividend of 0.25 with an ex-date of Apr. 11 2025,2025-04-11,0.25
INDB,Dividend,INDB announced a cash dividend of 0.59 with an ex-date of Mar. 31 2025,2025-03-31,0.59
FCPT,Dividend,FCPT announced a cash dividend of 0.355 with an ex-date of Mar. 31 2025,2025-03-31,0.355
BKE,Dividend,BKE announced a cash dividend of 0.35 with an ex-date of Apr. 15 2025,2025-04-15,0.35
KWR,Dividend,KWR announced a cash dividend of 0.485 with an ex-date of Apr. 16 2025,2025-04-16,0.485
LXP,Dividend,LXP announced a cash dividend of 0.135 with an ex-date of Mar. 31 2025,2025-03-31,0.135
UTF,Dividend,UTF announced a cash dividend of 0.155 with an ex-date of Apr. 8 2025,2025-04-08,0.155
SHO,Dividend,SHO announced a cash dividend of 0.09 with an ex-date of Mar. 31 2025,2025-03-31,0.09
IVT,Dividend,IVT announced a cash dividend of 0.238 with an ex-date of Mar. 31 2025,2025-03-31,0.238
WLY,Dividend,WLY announced a cash dividend of 0.352 with an ex-date of Apr. 8 2025,2025-04-08,0.352
WB,Dividend,WB announced a cash dividend of 0.82 with an ex-date of Apr. 9 2025,2025-04-09,0.82
WERN,Dividend,WERN announced a cash dividend of 0.14 with an ex-date of Apr. 14 2025,2025-04-14,0.14
GDV,Dividend,GDV announced a cash dividend of 0.14 with an ex-date of Apr. 15 2025,2025-04-15,0.14
DBRG,Dividend,DBRG announced a cash dividend of 0.01 with an ex-date of Mar. 31 2025,2025-03-31,0.01
CCU,Dividend,CCU announced a cash dividend of 0.216 with an ex-date of Apr. 24 2025,2025-04-24,0.216
IIPR,Dividend,IIPR announced a cash dividend of 1.90 with an ex-date of Mar. 31 2025,2025-03-31,1.90
OFG,Dividend,OFG announced a cash dividend of 0.30 with an ex-date of Mar. 31 2025,2025-03-31,0.30
PSEC,Dividend,PSEC announced a cash dividend of 0.045 with an ex-date of Apr. 28 2025,2025-04-28,0.045
OXLC,Dividend,OXLC announced a cash dividend of 0.09 with an ex-date of Apr. 16 2025,2025-04-16,0.09
VRE,Dividend,VRE announced a cash dividend of 0.08 with an ex-date of Mar. 31 2025,2025-03-31,0.08
FINV,Dividend,FINV announced a cash dividend of 0.277 with an ex-date of Apr. 16 2025,2025-04-16,0.277
WWW,Dividend,WWW announced a cash dividend of 0.10 with an ex-date of Apr. 1 2025,2025-04-01,0.10
FBNC,Dividend,FBNC announced a cash dividend of 0.22 with an ex-date of Mar. 31 2025,2025-03-31,0.22
CHCO,Dividend,CHCO announced a cash dividend of 0.79 with an ex-date of Apr. 15 2025,2025-04-15,0.79
